Date,Open,High,Low,Close,Volume
26/09/2023 16:00:00,174.82,175.2,171.66,171.96,64588945
27/09/2023 16:00:00,172.62,173.04,169.05,170.43,66921808
28/09/2023 16:00:00,169.34,172.03,167.62,170.69,56294419
29/09/2023 16:00:00,172.02,173.07,170.34,171.21,51861083
02/10/2023 16:00:00,171.22,174.3,170.93,173.75,52164535
03/10/2023 16:00:00,172.26,173.63,170.82,172.4,49594613
04/10/2023 16:00:00,171.09,174.21,170.97,173.66,53020286
05/10/2023 16:00:00,173.79,175.45,172.68,174.91,48527918
06/10/2023 16:00:00,173.8,177.99,173.18,177.49,57266675
09/10/2023 16:00:00,176.81,179.05,175.8,178.99,42390772
10/10/2023 16:00:00,178.1,179.72,177.95,178.39,43698019
11/10/2023 16:00:00,178.2,179.85,177.6,179.8,47551098
12/10/2023 16:00:00,180.07,182.34,179.04,180.71,56743119
13/10/2023 16:00:00,181.42,181.93,178.14,178.85,51456082
16/10/2023 16:00:00,176.75,179.08,176.51,178.72,52516984
17/10/2023 16:00:00,176.65,178.42,174.8,177.15,57549350
18/10/2023 16:00:00,175.58,177.58,175.11,175.84,54764375
19/10/2023 16:00:00,176.04,177.84,175.19,175.46,59302863
20/10/2023 16:00:00,175.31,175.42,172.64,172.88,64244028
23/10/2023 16:00:00,170.91,174.01,169.93,173,55980109
24/10/2023 16:00:00,173.05,173.67,171.45,173.44,43816644
25/10/2023 16:00:00,171.88,173.06,170.65,171.1,57156962
26/10/2023 16:00:00,170.37,171.38,165.67,166.89,70625258
27/10/2023 16:00:00,166.91,168.96,166.83,168.22,58499129
30/10/2023 16:00:00,169.02,171.17,168.87,170.29,51130955
31/10/2023 16:00:00,169.35,170.9,167.9,170.77,44846017
01/11/2023 16:00:00,171,174.23,170.12,173.97,56934906
02/11/2023 16:00:00,175.52,177.78,175.46,177.57,77334752
03/11/2023 16:00:00,174.24,176.82,173.35,176.65,79829246
06/11/2023 16:00:00,176.38,179.43,176.21,179.23,63841310
07/11/2023 16:00:00,179.18,182.44,178.97,181.82,70529966
08/11/2023 16:00:00,182.35,183.45,181.59,182.89,49340282
09/11/2023 16:00:00,182.96,184.12,181.81,182.41,53763540
10/11/2023 16:00:00,183.97,186.57,183.53,186.4,66177922
13/11/2023 16:00:00,185.82,186.03,184.21,184.8,43627519
14/11/2023 16:00:00,187.7,188.11,186.3,187.44,60108378
15/11/2023 16:00:00,187.85,189.5,187.78,188.01,53790499
16/11/2023 16:00:00,189.57,190.96,188.65,189.71,54412915
17/11/2023 16:00:00,190.25,190.38,188.57,189.69,50941404
20/11/2023 16:00:00,189.89,191.91,189.88,191.45,46538614
21/11/2023 16:00:00,191.41,191.52,189.74,190.64,38134485
22/11/2023 16:00:00,191.49,192.93,190.83,191.31,39630011
24/11/2023 13:05:00,190.87,190.9,189.25,189.97,24048344
27/11/2023 16:00:00,189.92,190.67,188.9,189.79,40552609
28/11/2023 16:00:00,189.78,191.08,189.4,190.4,38415419
29/11/2023 16:00:00,190.9,192.09,188.97,189.37,43014224
30/11/2023 16:00:00,189.84,190.32,188.19,189.95,48794366
01/12/2023 16:00:00,190.33,191.56,189.23,191.24,45704823
04/12/2023 16:00:00,189.98,190.05,187.45,189.43,43389519
05/12/2023 16:00:00,190.21,194.4,190.18,193.42,66628398
06/12/2023 16:00:00,194.45,194.76,192.11,192.32,41089737
07/12/2023 16:00:00,193.63,195,193.59,194.27,47477655
08/12/2023 16:00:00,194.2,195.99,193.67,195.71,53406358
11/12/2023 16:00:00,193.11,193.49,191.42,193.18,60943699
12/12/2023 16:00:00,193.08,194.72,191.72,194.71,52696900
13/12/2023 16:00:00,195.09,198,194.85,197.96,70404183
14/12/2023 16:00:00,198.02,199.62,196.16,198.11,66831572
15/12/2023 16:00:00,197.53,198.4,197,197.57,128538401
18/12/2023 16:00:00,196.09,196.63,194.39,195.89,55751861
19/12/2023 16:00:00,196.16,196.95,195.89,196.94,40714051
20/12/2023 16:00:00,196.9,197.68,194.83,194.83,52242815
21/12/2023 16:00:00,196.1,197.08,193.5,194.68,46482549
22/12/2023 16:00:00,195.18,195.41,192.97,193.6,37149570
26/12/2023 16:00:00,193.61,193.89,192.83,193.05,28919310
27/12/2023 16:00:00,192.49,193.5,191.09,193.15,48087681
28/12/2023 16:00:00,194.14,194.66,193.17,193.58,34049898
29/12/2023 16:00:00,193.9,194.4,191.73,192.53,42672148
02/01/2024 16:00:00,187.15,188.44,183.89,185.64,82488674
03/01/2024 16:00:00,184.22,185.88,183.43,184.25,58414460
04/01/2024 16:00:00,182.15,183.09,180.88,181.91,71983570
05/01/2024 16:00:00,181.99,182.76,180.17,181.18,62379661
08/01/2024 16:00:00,182.09,185.6,181.5,185.56,59144470
09/01/2024 16:00:00,183.92,185.15,182.73,185.14,42841809
10/01/2024 16:00:00,184.35,186.4,183.92,186.19,46792908
11/01/2024 16:00:00,186.54,187.05,183.62,185.59,49128408
12/01/2024 16:00:00,186.06,186.74,185.19,185.92,40477782
16/01/2024 16:00:00,182.16,184.26,180.93,183.63,65603041
17/01/2024 16:00:00,181.27,182.93,180.3,182.68,47317433
18/01/2024 16:00:00,186.09,189.14,185.83,188.63,78005754
19/01/2024 16:00:00,189.33,191.95,188.82,191.56,68902985
22/01/2024 16:00:00,192.3,195.33,192.26,193.89,60133852
23/01/2024 16:00:00,195.02,195.75,193.83,195.18,42355590
24/01/2024 16:00:00,195.42,196.38,194.34,194.5,53631316
25/01/2024 16:00:00,195.22,196.27,193.11,194.17,54822126
26/01/2024 16:00:00,194.27,194.76,191.94,192.42,44594011
29/01/2024 16:00:00,192.01,192.2,189.58,191.73,47145622
30/01/2024 16:00:00,190.94,191.8,187.47,188.04,55859370
31/01/2024 16:00:00,187.04,187.1,184.35,184.4,55467803
01/02/2024 16:00:00,183.99,186.95,183.82,186.86,64885408
02/02/2024 16:00:00,179.86,187.33,179.25,185.85,102551680
05/02/2024 16:00:00,188.15,189.25,185.84,187.68,69668820
06/02/2024 16:00:00,186.86,189.31,186.77,189.3,43490759
07/02/2024 16:00:00,190.64,191.05,188.61,189.41,53438955
08/02/2024 16:00:00,189.39,189.54,187.35,188.32,40962046
09/02/2024 16:00:00,188.65,189.99,188,188.85,45155216
12/02/2024 16:00:00,188.42,188.67,186.79,187.15,41781934
13/02/2024 16:00:00,185.77,186.21,183.51,185.04,56529529
14/02/2024 16:00:00,185.32,185.53,182.44,184.15,54630517
15/02/2024 16:00:00,183.55,184.49,181.35,183.86,65434496
16/02/2024 16:00:00,183.42,184.85,181.67,182.31,49752465
20/02/2024 16:00:00,181.79,182.43,180,181.56,53665553
21/02/2024 16:00:00,181.94,182.89,180.66,182.32,41529674
22/02/2024 16:00:00,183.48,184.96,182.46,184.37,52292208
23/02/2024 16:00:00,185.01,185.04,182.23,182.52,45119677
26/02/2024 16:00:00,182.24,182.76,180.65,181.16,40867421
27/02/2024 16:00:00,181.1,183.92,179.56,182.63,54318851
28/02/2024 16:00:00,182.51,183.12,180.13,181.42,48953939
29/02/2024 16:00:00,181.27,182.57,179.53,180.75,136682597
01/03/2024 16:00:00,179.55,180.53,177.38,179.66,73563082
04/03/2024 16:00:00,176.15,176.9,173.79,175.1,81510101
05/03/2024 16:00:00,170.76,172.04,169.62,170.12,95132355
06/03/2024 16:00:00,171.06,171.24,168.68,169.12,68587707
07/03/2024 16:00:00,169.15,170.73,168.49,169,71765061
08/03/2024 16:00:00,169,173.7,168.94,170.73,76267041
11/03/2024 16:00:00,172.94,174.38,172.05,172.75,60139473
12/03/2024 16:00:00,173.15,174.03,171.01,173.23,59825372
13/03/2024 16:00:00,172.77,173.19,170.76,171.13,52488692
14/03/2024 16:00:00,172.91,174.31,172.05,173,72913507
15/03/2024 16:00:00,171.17,172.62,170.29,172.62,121752699
18/03/2024 16:00:00,175.57,177.71,173.52,173.72,75604184
19/03/2024 16:00:00,174.34,176.61,173.03,176.08,55215244
20/03/2024 16:00:00,175.72,178.67,175.09,178.67,53423102
21/03/2024 16:00:00,177.05,177.49,170.84,171.37,106181270
22/03/2024 16:00:00,171.76,173.05,170.06,172.28,71160138
25/03/2024 16:00:00,170.57,171.94,169.45,170.85,54288328
26/03/2024 16:00:00,170,171.42,169.58,169.71,57388449
27/03/2024 16:00:00,170.41,173.6,170.11,173.31,60273265
28/03/2024 16:00:00,171.75,172.23,170.51,171.48,65672690
01/04/2024 16:00:00,171.19,171.25,169.48,170.03,46240500
02/04/2024 16:00:00,169.08,169.34,168.23,168.84,49329481
03/04/2024 16:00:00,168.79,170.68,168.58,169.65,47691715
04/04/2024 16:00:00,170.29,171.92,168.82,168.82,53704386
05/04/2024 16:00:00,169.59,170.39,168.95,169.58,42104826
08/04/2024 16:00:00,169.03,169.2,168.24,168.45,37425513
09/04/2024 16:00:00,168.7,170.08,168.35,169.67,42451209
10/04/2024 16:00:00,168.8,169.09,167.11,167.78,49709336
11/04/2024 16:00:00,168.34,175.46,168.16,175.04,91070275
12/04/2024 16:00:00,174.26,178.36,174.21,176.55,101670886
15/04/2024 16:00:00,175.36,176.63,172.5,172.69,73531773
16/04/2024 16:00:00,171.75,173.76,168.27,169.38,73711235
17/04/2024 16:00:00,169.61,170.65,168,168,50901210
18/04/2024 16:00:00,168.03,168.64,166.55,167.04,43122903
19/04/2024 16:00:00,166.21,166.4,164.08,165,68149377
22/04/2024 16:00:00,165.52,167.26,164.77,165.84,48116443
23/04/2024 16:00:00,165.35,167.05,164.92,166.9,49537761
24/04/2024 16:00:00,166.54,169.3,166.21,169.02,48251835
25/04/2024 16:00:00,169.53,170.61,168.15,169.89,50558329
26/04/2024 16:00:00,169.88,171.34,169.18,169.3,44838354
29/04/2024 16:00:00,173.37,176.03,173.1,173.5,68169419
30/04/2024 16:00:00,173.33,174.99,170,170.33,65934776
01/05/2024 16:00:00,169.58,172.71,169.11,169.3,50383147
02/05/2024 16:00:00,172.51,173.42,170.89,173.03,94214915
03/05/2024 16:00:00,186.65,187,182.66,183.38,163224109
06/05/2024 16:00:00,182.35,184.2,180.42,181.71,78569667
07/05/2024 16:00:00,183.45,184.9,181.32,182.4,77305771
08/05/2024 16:00:00,182.85,183.07,181.45,182.74,45057087
09/05/2024 16:00:00,182.56,184.66,182.11,184.57,48982972
10/05/2024 16:00:00,184.9,185.09,182.13,183.05,50759496
13/05/2024 16:00:00,185.44,187.1,184.62,186.28,72044809
14/05/2024 16:00:00,187.51,188.3,186.29,187.43,52393619
15/05/2024 16:00:00,187.91,190.65,187.37,189.72,70399988
16/05/2024 16:00:00,190.47,191.1,189.66,189.84,52845230
17/05/2024 16:00:00,189.51,190.81,189.18,189.87,41282925
20/05/2024 16:00:00,189.35,191.92,189.01,191.04,44361275
21/05/2024 16:00:00,191.09,192.73,190.92,192.35,42309401
22/05/2024 16:00:00,192.27,192.82,190.27,190.9,34648547
23/05/2024 16:00:00,190.98,191,186.63,186.88,51005924
24/05/2024 16:00:00,188.82,190.58,188.04,189.98,36326975
28/05/2024 16:00:00,191.51,193,189.1,189.99,52280051
29/05/2024 16:00:00,189.61,192.25,189.51,190.29,53068016
30/05/2024 16:00:00,190.76,192.18,190.63,191.29,49947941
31/05/2024 16:00:00,191.44,192.57,189.91,192.25,75158277
03/06/2024 16:00:00,192.9,194.99,192.52,194.03,50080539
04/06/2024 16:00:00,194.64,195.32,193.03,194.35,47471445
05/06/2024 16:00:00,195.4,196.9,194.87,195.87,54156785
06/06/2024 16:00:00,195.69,196.5,194.17,194.48,41181753
07/06/2024 16:00:00,194.65,196.94,194.14,196.89,53103912
10/06/2024 16:00:00,196.9,197.3,192.15,193.12,97262077
11/06/2024 16:00:00,193.65,207.16,193.63,207.15,172373296
12/06/2024 16:00:00,207.37,220.2,206.9,213.07,198134293
13/06/2024 16:00:00,214.74,216.75,211.6,214.24,97862729
14/06/2024 16:00:00,213.85,215.17,211.3,212.49,70122748
